ID,title,description,category,provider_name,provider_phone,provider_email,address,price,district,pincode,city,state,room_type,occupancy,gender_preference,food_included,is_furnished,amenities,avaibility,rating,review_count,is_active,created_by,created_at,updated_at
77,Indore Tiffin Service 17,"Healthy and hygienic tiffin service in Indore, delivering meals daily.",tiffin,Ms. Gupta,9733403321,tiffin_17_indore@example.com,53 Indore Food Street,2611,Indore,452001,Indore,Madhya Pradesh,N/A,0,Any,TRUE,FALSE,"veg_meals,tiffin,delivery",TRUE,4.1,118,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
78,Kolkata Tiffin Service 18,"Healthy and hygienic tiffin service in Kolkata, delivering meals daily.",tiffin,Mrs. Kapoor,9758672559,tiffin_18_kolkata@example.com,293 Kolkata Food Street,5177,Kolkata,700001,Kolkata,West Bengal,N/A,0,Any,TRUE,FALSE,"snacks,nonveg_meals,delivery",TRUE,4.2,27,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
79,Pune Tiffin Service 19,"Healthy and hygienic tiffin service in Pune, delivering meals daily.",tiffin,Mr. Mehta,9749046230,tiffin_19_pune@example.com,113 Pune Food Street,5167,Pune,411001,Pune,Maharashtra,N/A,0,Any,TRUE,FALSE,"delivery,weekly_menu,snacks",TRUE,4.1,149,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
80,Mumbai Tiffin Service 20,"Healthy and hygienic tiffin service in Mumbai, delivering meals daily.",tiffin,Mr. Banerjee,9798401371,tiffin_20_mumbai@example.com,260 Mumbai Food Street,5628,Mumbai,400001,Mumbai,Maharashtra,N/A,0,Any,TRUE,FALSE,"weekly_menu,delivery,veg_meals",TRUE,4.5,51,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
81,Science Tutor in Delhi 1,Experienced Science tutor available in Delhi for personalized coaching.,tutor,Mr. Iyer,9641016435,tutor_1_delhi@example.com,41 Delhi Education Lane,11136,Delhi,110001,Delhi,Delhi,N/A,0,Any,FALSE,FALSE,"online_classes,test_series,doubt_clearing",TRUE,4.7,34,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
82,Accounts Tutor in Bangalore 2,Experienced Accounts tutor available in Bangalore for personalized coaching.,tutor,Mrs. Nair,9690920414,tutor_2_bangalore@example.com,81 Bangalore Education Lane,10861,Bangalore,560001,Bangalore,Karnataka,N/A,0,Any,FALSE,FALSE,"offline_classes,doubt_clearing,test_series",TRUE,4.8,47,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
83,History Tutor in Chennai 3,Experienced History tutor available in Chennai for personalized coaching.,tutor,Mr. Sharma,9666737343,tutor_3_chennai@example.com,42 Chennai Education Lane,6103,Chennai,600001,Chennai,Tamil Nadu,N/A,0,Any,FALSE,FALSE,"notes,online_classes,doubt_clearing",TRUE,4,86,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
84,English Tutor in Chennai 4,Experienced English tutor available in Chennai for personalized coaching.,tutor,Mr. Iyer,9637255929,tutor_4_chennai@example.com,114 Chennai Education Lane,9887,Chennai,600001,Chennai,Tamil Nadu,N/A,0,Any,FALSE,FALSE,"doubt_clearing,online_classes,test_series",TRUE,4.8,92,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
85,Accounts Tutor in Pune 5,Experienced Accounts tutor available in Pune for personalized coaching.,tutor,Mr. Mehta,9638246820,tutor_5_pune@example.com,25 Pune Education Lane,5076,Pune,411001,Pune,Maharashtra,N/A,0,Any,FALSE,FALSE,"notes,doubt_clearing,test_series",TRUE,4.6,100,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
86,Science Tutor in Chennai 6,Experienced Science tutor available in Chennai for personalized coaching.,tutor,Ms. Fernandes,9613175310,tutor_6_chennai@example.com,97 Chennai Education Lane,8415,Chennai,600001,Chennai,Tamil Nadu,N/A,0,Any,FALSE,FALSE,"test_series,notes,online_classes",TRUE,4,10,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
87,Physics Tutor in Ahmedabad 7,Experienced Physics tutor available in Ahmedabad for personalized coaching.,tutor,Ms. Fernandes,9665924820,tutor_7_ahmedabad@example.com,90 Ahmedabad Education Lane,12918,Ahmedabad,380001,Ahmedabad,Gujarat,N/A,0,Any,FALSE,FALSE,"offline_classes,doubt_clearing,test_series",TRUE,4.7,29,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
88,Accounts Tutor in Indore 8,Experienced Accounts tutor available in Indore for personalized coaching.,tutor,Mr. Mehta,9688687412,tutor_8_indore@example.com,33 Indore Education Lane,10829,Indore,452001,Indore,Madhya Pradesh,N/A,0,Any,FALSE,FALSE,"test_series,online_classes,doubt_clearing",TRUE,4.4,70,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
89,Coding Tutor in Pune 9,Experienced Coding tutor available in Pune for personalized coaching.,tutor,Mr. Singh,9644434300,tutor_9_pune@example.com,69 Pune Education Lane,5523,Pune,411001,Pune,Maharashtra,N/A,0,Any,FALSE,FALSE,"offline_classes,doubt_clearing,test_series",TRUE,4.4,72,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
90,English Tutor in Delhi 10,Experienced English tutor available in Delhi for personalized coaching.,tutor,Mr. Singh,9641208791,tutor_10_delhi@example.com,64 Delhi Education Lane,8999,Delhi,110001,Delhi,Delhi,N/A,0,Any,FALSE,FALSE,"offline_classes,notes,online_classes",TRUE,4.2,55,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
91,English Tutor in Pune 11,Experienced English tutor available in Pune for personalized coaching.,tutor,Mrs. Kapoor,9677098501,tutor_11_pune@example.com,79 Pune Education Lane,9131,Pune,411001,Pune,Maharashtra,N/A,0,Any,FALSE,FALSE,"test_series,online_classes,notes",TRUE,4.6,86,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
92,Coding Tutor in Chandigarh 12,Experienced Coding tutor available in Chandigarh for personalized coaching.,tutor,Mr. Banerjee,9669837990,tutor_12_chandigarh@example.com,86 Chandigarh Education Lane,12739,Chandigarh,160017,Chandigarh,Chandigarh,N/A,0,Any,FALSE,FALSE,"doubt_clearing,test_series,offline_classes",TRUE,4.3,28,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
93,Accounts Tutor in Ahmedabad 13,Experienced Accounts tutor available in Ahmedabad for personalized coaching.,tutor,Mr. Patel,9615378531,tutor_13_ahmedabad@example.com,34 Ahmedabad Education Lane,6545,Ahmedabad,380001,Ahmedabad,Gujarat,N/A,0,Any,FALSE,FALSE,"test_series,offline_classes,doubt_clearing",TRUE,4.3,38,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
94,History Tutor in Chandigarh 14,Experienced History tutor available in Chandigarh for personalized coaching.,tutor,Mr. Banerjee,9664054176,tutor_14_chandigarh@example.com,35 Chandigarh Education Lane,14810,Chandigarh,160017,Chandigarh,Chandigarh,N/A,0,Any,FALSE,FALSE,"doubt_clearing,notes,test_series",TRUE,4.9,37,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
95,Chemistry Tutor in Bangalore 15,Experienced Chemistry tutor available in Bangalore for personalized coaching.,tutor,Mr. Mehta,9690562120,tutor_15_bangalore@example.com,100 Bangalore Education Lane,11565,Bangalore,560001,Bangalore,Karnataka,N/A,0,Any,FALSE,FALSE,"online_classes,offline_classes,test_series",TRUE,4.3,95,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
96,English Tutor in Chennai 16,Experienced English tutor available in Chennai for personalized coaching.,tutor,Mr. Patel,9612985627,tutor_16_chennai@example.com,42 Chennai Education Lane,11512,Chennai,600001,Chennai,Tamil Nadu,N/A,0,Any,FALSE,FALSE,"test_series,doubt_clearing,notes",TRUE,4.2,68,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
97,Physics Tutor in Ahmedabad 17,Experienced Physics tutor available in Ahmedabad for personalized coaching.,tutor,Mrs. Nair,9677021247,tutor_17_ahmedabad@example.com,6 Ahmedabad Education Lane,7524,Ahmedabad,380001,Ahmedabad,Gujarat,N/A,0,Any,FALSE,FALSE,"doubt_clearing,offline_classes,notes",TRUE,5,36,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
98,Economics Tutor in Hyderabad 18,Experienced Economics tutor available in Hyderabad for personalized coaching.,tutor,Mr. Reddy,9625937835,tutor_18_hyderabad@example.com,11 Hyderabad Education Lane,14399,Hyderabad,500001,Hyderabad,Telangana,N/A,0,Any,FALSE,FALSE,"test_series,doubt_clearing,notes",TRUE,4.8,90,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
99,Science Tutor in Jaipur 19,Experienced Science tutor available in Jaipur for personalized coaching.,tutor,Mr. Iyer,9697255074,tutor_19_jaipur@example.com,98 Jaipur Education Lane,10454,Jaipur,302001,Jaipur,Rajasthan,N/A,0,Any,FALSE,FALSE,"online_classes,test_series,doubt_clearing",TRUE,4.1,36,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
100,History Tutor in Hyderabad 20,Experienced History tutor available in Hyderabad for personalized coaching.,tutor,Mr. Singh,9631937176,tutor_20_hyderabad@example.com,47 Hyderabad Education Lane,9022,Hyderabad,500001,Hyderabad,Telangana,N/A,0,Any,FALSE,FALSE,"online_classes,doubt_clearing,offline_classes",TRUE,4.8,50,TRUE,4,8/19/2025 5:56,8/19/2025 5:56
